ILT_ILTCode,ILT_niveau,ILT_toev,ILT_NiveauIndex,ILT_Element_Opleidingsnaam,ILT_Element_Onderwijstype_Leerjaar,ILT_Element_LWOOIndicatie,ILT_Element_VMBOSector,ILT_Element_Afdeling,ILT_Element_RuimteALG,ILT_Element_RuimteSPEC,ILT_Element_RuimteGyml
3374,LWOO,Basisbg,1,,,,,,,,
3411,VMBO,Basisbg,1,VMBO Basisbg Lw TB-ISP,VMBO BL lj 3-4,N,Techniek,Techniek Breed -ISP,4.69,8.99,1.38
3412,VMBO,Kaderbg,2,VMBO Kaderbg Lw TB-ISP,VMBO KL lj 3-4,N,Techniek,Techniek Breed -ISP,4.69,8.99,1.38
3413,VMBO,Gemengde,3,,,,,,,,
3414,VMBO,Basisbg,1,,,,,,,,
3421,VMBO,Basisbg,1,VMBO Basisbg Lw ICT-route,VMBO BL lj 3-4,N,Intersect. programma,ICT -route,4.69,8.99,1.38
3422,VMBO,Kaderbg,2,VMBO Kaderbg Lw ICT-route,VMBO KL lj 3-4,N,Intersect. programma,ICT -route,4.69,8.99,1.38
3423,VMBO,Gemengde,3,VMBO Gemengde Lw ICT-route,VMBO GL lj 3-4,N,Intersect. programma,ICT -route,5.98,5.47,1.11
3424,VMBO,Basisbg,1,,,,,,,,
3431,VMBO,Basisbg,1,VMBO Basisbg Lw SDV,VMBO BL lj 3-4,N,Intersect. programma,"Sport, Dienstverlening en Veiligheid",4.71,4.22,1.38
3432,VMBO,Kaderbg,2,VMBO Kaderbg Lw SDV,VMBO KL lj 3-4,N,Intersect. programma,"Sport, Dienstverlening en Veiligheid",4.71,4.22,1.38
3434,VMBO,Basisbg,1,,,,,,,,
3441,VMBO,Gemengde,3,VMBO Gemengde Lw Technologie(orientatie),VMBO GL lj 3-4,N,Intersect. programma,Technologie Oriëntatie,5.98,5.47,1.11
3442,VMBO,Gemengde,3,VMBO Gemengde Lw Techn Technologie,VMBO GL lj 3-4,N,Techniek,Technologie Oriëntatie,5.98,5.47,1.11
3443,VMBO,Gemengde,3,,,,,,,,
3444,VMBO,Gemengde,3,,,,,,,,
3451,VMBO,Basisbg,1,VMBO Basisbg Lw T & C,VMBO BL lj 3-4,N,Intersect. Programma,Techniek & Commercie,4.69,8.99,1.38
3452,VMBO,Kaderbg,2,,,,,,,,
