PrognLL_Brin,PrognLL_ImportJaar,PrognLL_PrognoseJaar,PrognLL_AantalLL,PrognLL_InvoerWie,PrognLL_InvoerWanneer
16ZG00,2010,2010,152,eneheuvel,23-09-11
16ZG00,2011,2011,126,eneheuvel,23-09-11
16ZG00,2011,2016,126,eneheuvel,23-09-11
16ZG00,2011,2017,129,eneheuvel,23-09-11
16ZG00,2011,2018,131,eneheuvel,23-09-11
16ZG00,2011,2019,130,eneheuvel,23-09-11
16ZG00,2011,2020,129,eneheuvel,23-09-11
16ZG00,2011,2025,125,eneheuvel,23-09-11
16ZG00,2011,2030,126,eneheuvel,23-09-11
16ZG00,2011,2035,128,eneheuvel,23-09-11
16ZG00,2011,2012,124,eneheuvel,23-09-11
16ZG00,2011,2013,122,eneheuvel,23-09-11
16ZG00,2011,2014,122,eneheuvel,23-09-11
16ZG00,2011,2015,124,eneheuvel,23-09-11
16ZX00,2010,2010,108,eneheuvel,23-09-11
16ZX00,2011,2011,94,eneheuvel,23-09-11
16ZX00,2011,2016,90,eneheuvel,23-09-11
16ZX00,2011,2017,91,eneheuvel,23-09-11
16ZX00,2011,2018,94,eneheuvel,23-09-11
16ZX00,2011,2019,95,eneheuvel,23-09-11
16ZX00,2011,2020,94,eneheuvel,23-09-11
16ZX00,2011,2025,94,eneheuvel,23-09-11
16ZX00,2011,2030,95,eneheuvel,23-09-11
16ZX00,2011,2035,95,eneheuvel,23-09-11
16ZX00,2011,2012,97,eneheuvel,23-09-11
16ZX00,2011,2013,95,eneheuvel,23-09-11
16ZX00,2011,2014,93,eneheuvel,23-09-11
16ZX00,2011,2015,90,eneheuvel,23-09-11
17AK00,2010,2010,145,eneheuvel,23-09-11
17AK00,2011,2011,140,eneheuvel,23-09-11
17AK00,2011,2016,130,eneheuvel,23-09-11
17AK00,2011,2017,130,eneheuvel,23-09-11
17AK00,2011,2018,131,eneheuvel,23-09-11
17AK00,2011,2019,130,eneheuvel,23-09-11
17AK00,2011,2020,130,eneheuvel,23-09-11
17AK00,2011,2025,128,eneheuvel,23-09-11
17AK00,2011,2030,126,eneheuvel,23-09-11
17AK00,2011,2035,126,eneheuvel,23-09-11
17AK00,2011,2012,134,eneheuvel,23-09-11
17AK00,2011,2013,132,eneheuvel,23-09-11
